Estación,Troncal
21 Ángeles,C
Alcalá,B
Alquería,G
Avenida 39,A
AV. Américas - AV. Boyacá,F
AV. Chile,E
AV. Jiménez,J
AV. Rojas - UNISALESIANA,K
Avenida 1° de Mayo,L
Avenida 68,D
Avenida Cali,D
Avenida Eldorado,E
Banderas,F
Biblioteca,H
Biblioteca Tintal,F
Bicentenario,L
Boyacá,D
CAD,E
Calle 100,B
Calle 106,B
Calle 127,B
Calle 142,B
Calle 146,B
Calle 161,B
Calle 187,B
Calle 19,A
Calle 22,A
Calle 34,A
Calle 40 S.,H
Calle 45 - American School Way,A
Calle 57,A
Calle 76 - San Felipe,A
Calle 85,B
Campín – Universidad Antonio Nariño,E
CAN,K
Carrera 43 - COMAPAN,F
Carrera 47,D
Carrera 53,D
Carrera 90,D
CDS - Carrera 32,F
Centro Memoria,K
Ciudad Jardín - UAN,L
Ciudad Universitaria - Lotería de Bogotá,K
Coliseo,E
Comuneros,G
Concejo de Bogotá,K
Corferias,K
Country Sur,L
De La Sabana,F
Distrito Grafiti,F
El Tiempo - Cámara de Comercio de Bogotá,K
Escuela Militar,D
Ferias,D
Flores - Areandina,A
Fucha,H
General Santander,G
Gobernación,K
Granja - Carrera 77,D
Gratamira,C
Guatoque - Veraguas,E
Héroes – Gelhada,B
Hortúa,H
Hospital,H
Humedal Córdoba,C
La Campiña,C
Las Nieves,L
Madelena,G
Mandalay,F
Marsella,F
Mazurén,B
Minuto De Dios,D
Modelia,K
Museo Nacional,L
Nariño,H
Niza - CL 127,C
Normandía,K
NQS – Calle 75,E
NQS – CL 30 S.,G
NQS – CL 38A S.,G
Olaya,H
Paloquemao,E
Parque,H
Pepe Sierra,B
Perdomo,G
Policarpa,L
Polo - Fincomercio,D
Portal 20 de Julio,L
Portal Américas,F
Portal de la 80,D
Portal del Norte,B
Portal del Sur,G
Portal del Tunal,H
Portal Eldorado,K
Portal Suba,C
Pradera - Plaza Central,F
Prado,B
Puente Aranda,F
Puentelargo,C
Quinta Paredes,K
Quirigua,D
Quiroga,H
Recinto Ferial,K
Restrepo,H
Ricaurte,F
Rionegro,C
Salitre - El Greco,K
San Bernardo,L
San Diego,L
San Facon - KR. 22,F
San Martín,C
San Victorino,L
Santa Isabel,G
Santa Lucía,H
SENA,G
Sevillana,G
Shaio,C
Simón Bolívar,E
Suba - AV. Boyacá,C
Suba - CL 100,C
Suba - CL 95,C
Suba - TV. 91,C
Tercer Milenio,H
Terminal,B
Toberín,B
Transversal 86,F
Tygua - San José,E
Universidad Nacional,E
Universidades - City U,K
Venecia,G
Virrey,B
Zona Industrial,F
